"comment_id","created_time","updated_time","comment","star_count","user_token_id","board_id"
"70","2023-09-18 12:35:57.922427","2023-09-18 12:35:57.922427","멋져요","5","2771733400","1000754"
"43","2023-08-06 20:42:56.799753","2023-08-06 20:42:56.799753","너무 맛있어요!","5","2947093440","1000030"
"44","2023-08-06 22:02:07.550858","2023-08-06 22:02:07.550858","너무 맛있어보여요~","5","2947093440","1000423"
"45","2023-08-06 22:50:33.623524","2023-08-06 22:50:33.623524","좋아요~","4","2947093440","1000074"
"46","2023-08-06 22:50:53.445808","2023-08-06 22:50:53.445808","좋은 레시피 감사합니다~","5","2947093440","1000074"
"47","2023-08-06 22:59:23.097592","2023-08-06 22:59:23.097592","별로예요.","1","2947093440","1000074"
"48","2023-08-07 12:02:24.270921","2023-08-07 12:02:24.270921","좋아요!","4","2947093440","1000030"
"49","2023-08-07 12:03:06.671146","2023-08-07 12:03:06.671146","아아
아아아아
아아","3","2947093440","1000030"
"67","2023-09-16 10:22:09.246830","2023-09-16 10:22:09.246830","맛있어 보여요~","4","3001319108","1000754"
"51","2023-08-08 23:42:58.755544","2023-08-08 23:42:58.755544","감사합니다~","4","abbbb","1000432"
"53","2023-08-12 16:07:05.456186","2023-08-12 16:07:05.456186","맛있어 보여요~~","5","abbbb","1000756"
"14","2023-07-12 16:38:47.282993","2023-07-12 16:38:47.282993","ss이에요","2","abc123","1000032"
"28","2023-08-06 16:30:08.110480","2023-08-06 16:30:08.110480","진짜 맛있어요~","5","abc123","1000002"
"29","2023-08-06 16:48:53.646330","2023-08-06 16:48:53.646330","매콤해요~","4","abc123","1000002"
